version_datetime,version_datetime_string,entry_number,url
20120102235854,"23:58:54 Jan 2, 2012",2517,http://web.archive.org/web/20120102235854/http://www.opentable.com/new-york-restaurant-listings
20120103135516,"13:55:16 Jan 3, 2012",2517,http://web.archive.org/web/20120103135516/http://www.opentable.com/new-york-restaurant-listings
20120109235036,"23:50:36 Jan 9, 2012",2526,http://web.archive.org/web/20120109235036/http://www.opentable.com/new-york-restaurant-listings
20120110011832,"1:18:32 Jan 10, 2012",2526,http://web.archive.org/web/20120110011832/http://www.opentable.com/new-york-restaurant-listings
20120117012033,"1:20:33 Jan 17, 2012",2544,http://web.archive.org/web/20120117012033/http://www.opentable.com/new-york-restaurant-listings
20120119235330,"23:53:30 Jan 19, 2012",2539,http://web.archive.org/web/20120119235330/http://www.opentable.com/new-york-restaurant-listings
20120121172352,"17:23:52 Jan 21, 2012",2545,http://web.archive.org/web/20120121172352/http://www.opentable.com/new-york-restaurant-listings
20120127004350,"0:43:50 Jan 27, 2012",2560,http://web.archive.org/web/20120127004350/http://www.opentable.com/new-york-restaurant-listings
20120203002326,"0:23:26 Feb 3, 2012",2568,http://web.archive.org/web/20120203002326/http://www.opentable.com/new-york-restaurant-listings
20120210000920,"0:09:20 Feb 10, 2012",2577,http://web.archive.org/web/20120210000920/http://www.opentable.com/new-york-restaurant-listings
20120212021816,"2:18:16 Feb 12, 2012",2579,http://web.archive.org/web/20120212021816/http://www.opentable.com/new-york-restaurant-listings
20120216235733,"23:57:33 Feb 16, 2012",2581,http://web.archive.org/web/20120216235733/http://www.opentable.com/new-york-restaurant-listings
20120224002705,"0:27:05 Feb 24, 2012",2600,http://web.archive.org/web/20120224002705/http://www.opentable.com/new-york-restaurant-listings
20120301234903,"23:49:03 Mar 1, 2012",2614,http://web.archive.org/web/20120301234903/http://www.opentable.com/new-york-restaurant-listings
20120309013631,"1:36:31 Mar 9, 2012",2634,http://web.archive.org/web/20120309013631/http://www.opentable.com/new-york-restaurant-listings
20120313184112,"18:41:12 Mar 13, 2012",2645,http://web.archive.org/web/20120313184112/http://www.opentable.com/new-york-restaurant-listings
20120316005338,"0:53:38 Mar 16, 2012",2635,http://web.archive.org/web/20120316005338/http://www.opentable.com/new-york-restaurant-listings
20120323015808,"1:58:08 Mar 23, 2012",2656,http://web.archive.org/web/20120323015808/http://www.opentable.com/new-york-restaurant-listings
20120330005819,"0:58:19 Mar 30, 2012",2677,http://web.archive.org/web/20120330005819/http://www.opentable.com/new-york-restaurant-listings
20120402122102,"12:21:02 Apr 2, 2012",2689,http://web.archive.org/web/20120402122102/http://www.opentable.com/new-york-restaurant-listings
20120426072757,"7:27:57 Apr 26, 2012",2735,http://web.archive.org/web/20120426072757/http://www.opentable.com/new-york-restaurant-listings
20120521015310,"1:53:10 May 21, 2012",2788,http://web.archive.org/web/20120521015310/http://www.opentable.com/new-york-restaurant-listings
20120530032515,"3:25:15 May 30, 2012",2798,http://web.archive.org/web/20120530032515/http://www.opentable.com/new-york-restaurant-listings
20120614092055,"9:20:55 Jun 14, 2012",2804,http://web.archive.org/web/20120614092055/http://www.opentable.com/new-york-restaurant-listings
20120626080353,"8:03:53 Jun 26, 2012",2788,http://web.archive.org/web/20120626080353/http://www.opentable.com/new-york-restaurant-listings
20120718075101,"7:51:01 Jul 18, 2012",2805,http://web.archive.org/web/20120718075101/http://www.opentable.com/new-york-restaurant-listings
20120728041229,"4:12:29 Jul 28, 2012",2817,http://web.archive.org/web/20120728041229/http://www.opentable.com/new-york-restaurant-listings
20120818044322,"4:43:22 Aug 18, 2012",2823,http://web.archive.org/web/20120818044322/http://www.opentable.com/new-york-restaurant-listings
20120827214018,"21:40:18 Aug 27, 2012",2828,http://web.archive.org/web/20120827214018/http://www.opentable.com/new-york-restaurant-listings
20120917231557,"23:15:57 Sep 17, 2012",2853,http://web.archive.org/web/20120917231557/http://www.opentable.com/new-york-restaurant-listings
20120929085710,"8:57:10 Sep 29, 2012",2890,http://web.archive.org/web/20120929085710/http://www.opentable.com/new-york-restaurant-listings
20121001072020,"7:20:20 Oct 1, 2012",2890,http://web.archive.org/web/20121001072020/http://www.opentable.com/new-york-restaurant-listings
20121022065151,"6:51:51 Oct 22, 2012",2936,http://web.archive.org/web/20121022065151/http://www.opentable.com/new-york-restaurant-listings
20121023082749,"8:27:49 Oct 23, 2012",2939,http://web.archive.org/web/20121023082749/http://www.opentable.com/new-york-restaurant-listings
20121023091654,"9:16:54 Oct 23, 2012",2939,http://web.archive.org/web/20121023091654/http://www.opentable.com/new-york-restaurant-listings
20121123051814,"5:18:14 Nov 23, 2012",2963,http://web.archive.org/web/20121123051814/http://www.opentable.com/new-york-restaurant-listings
20130121165213,"16:52:13 Jan 21, 2013",2988,http://web.archive.org/web/20130121165213/http://www.opentable.com/new-york-restaurant-listings
20130126212949,"21:29:49 Jan 26, 2013",2985,http://web.archive.org/web/20130126212949/http://www.opentable.com/new-york-restaurant-listings
20130127011144,"1:11:44 Jan 27, 2013",2985,http://web.archive.org/web/20130127011144/http://www.opentable.com/new-york-restaurant-listings
20130128022558,"2:25:58 Jan 28, 2013",2985,http://web.archive.org/web/20130128022558/http://www.opentable.com/new-york-restaurant-listings
20130314001348,"0:13:48 Mar 14, 2013",3025,http://web.archive.org/web/20130314001348/http://www.opentable.com/new-york-restaurant-listings
20130324041356,"4:13:56 Mar 24, 2013",3022,http://web.archive.org/web/20130324041356/http://www.opentable.com/new-YORK-restaurant-listings
20130330064116,"6:41:16 Mar 30, 2013",3027,http://web.archive.org/web/20130330064116/http://www.opentable.com/new-york-restaurant-listings
20130421082620,"8:26:20 Apr 21, 2013",3043,http://web.archive.org/web/20130421082620/http://www.opentable.com/new-york-restaurant-listings
20130424190504,"19:05:04 Apr 24, 2013",3038,http://web.archive.org/web/20130424190504/http://www.opentable.com/new-york-restaurant-listings
20130509175344,"17:53:44 May 9, 2013",3045,http://web.archive.org/web/20130509175344/http://www.opentable.com/new-york-restaurant-listings
20130509181104,"18:11:04 May 9, 2013",3046,http://web.archive.org/web/20130509181104/http://www.opentable.com/new-york-restaurant-listings
20130509225652,"22:56:52 May 9, 2013",3052,http://web.archive.org/web/20130509225652/http://www.opentable.com/new-YORK-restaurant-listings
20130710202003,"20:20:03 Jul 10, 2013",3121,http://web.archive.org/web/20130710202003/http://www.opentable.com/new-york-restaurant-listings
20130725105936,"10:59:36 Jul 25, 2013",3125,http://web.archive.org/web/20130725105936/http://www.opentable.com/new-york-restaurant-listings
20130726142128,"14:21:28 Jul 26, 2013",3127,http://web.archive.org/web/20130726142128/http://www.opentable.com/new-york-restaurant-listings
20130812202625,"20:26:25 Aug 12, 2013",3141,http://web.archive.org/web/20130812202625/http://www.opentable.com/new-york-restaurant-listings
20130812210354,"21:03:54 Aug 12, 2013",3140,http://web.archive.org/web/20130812210354/http://www.opentable.com/new-york-restaurant-listings
20130826194337,"19:43:37 Aug 26, 2013",3148,http://web.archive.org/web/20130826194337/http://www.opentable.com/new-york-restaurant-listings
20130916092443,"9:24:43 Sep 16, 2013",3156,http://web.archive.org/web/20130916092443/http://www.opentable.com/new-york-restaurant-listings
20130916104454,"10:44:54 Sep 16, 2013",3156,http://web.archive.org/web/20130916104454/http://www.opentable.com/new-york-restaurant-listings
20130921015918,"1:59:18 Sep 21, 2013",3156,http://web.archive.org/web/20130921015918/http://www.opentable.com/new-york-restaurant-listings
20131010060829,"6:08:29 Oct 10, 2013",3189,http://web.archive.org/web/20131010060829/http://www.opentable.com/new-york-restaurant-listings
20131028112641,"11:26:41 Oct 28, 2013",3190,http://web.archive.org/web/20131028112641/http://www.opentable.com/new-york-restaurant-listings
20131030100722,"10:07:22 Oct 30, 2013",3193,http://web.archive.org/web/20131030100722/http://www.opentable.com/new-york-restaurant-listings
20131114220701,"22:07:01 Nov 14, 2013",3196,http://web.archive.org/web/20131114220701/http://www.opentable.com/new-york-restaurant-listings
20131203214033,"21:40:33 Dec 3, 2013",3236,http://web.archive.org/web/20131203214033/http://www.opentable.com/new-york-restaurant-listings
20131217153133,"15:31:33 Dec 17, 2013",3257,http://web.archive.org/web/20131217153133/http://www.opentable.com/new-york-restaurant-listings
20140122110428,"11:04:28 Jan 22, 2014",3284,http://web.archive.org/web/20140122110428/http://www.opentable.com/new-york-restaurant-listings
20140221045057,"4:50:57 Feb 21, 2014",3310,http://web.archive.org/web/20140221045057/http://www.opentable.com/new-york-restaurant-listings
20140401053146,"5:31:46 Apr 1, 2014",3342,http://web.archive.org/web/20140401053146/http://www.opentable.com/new-york-restaurant-listings
20140410174727,"17:47:27 Apr 10, 2014",3341,http://web.archive.org/web/20140410174727/http://www.opentable.com/new-york-restaurant-listings
20140520093938,"9:39:38 May 20, 2014",3375,http://web.archive.org/web/20140520093938/http://www.opentable.com/new-york-restaurant-listings
