name,id
"BANC CAFE",510
"BANGKOK HOUSE",512
"BANN RESTAURANT",513
"BAOBURG",515
"BAR 54",517
"BAR AMERICAIN",518
"BAR BARESCO",520
"BAR BOLONAT",523
"BAR BOULUD",524
"BAR CHEVERE",527
"BAR EOLO",528
"BAR EOLO: SICILIAN KITCHEN & WINES",529
"BAR ITALIA",532
"BAR ON FIFTH",534
"BAR RIQUE",536
"BARVETRO",544
"BARAONDA",545
"BARAWINE",546
"BARBALU",547
"BARBARESCO",549
"BARBES RESTAURANT",551
"BARBETTA RESTAURANT",552
"BARBONE",553
"BARBOUNIA",554
"BARBUTO",555
"BARCA",556
"BARCHETTA",557
"BARCHETTA (FKA BISTRO LA PROMENADE)",558
"BARCLAY BAR AND GRILL",559
"BARKOGI",561
"BARLEY AND GRAIN",562
"BARMARCHE",563
"BARN JOO",564
"BAROLO",565
"BARRACA",567
"BARRIO 47",569
"BARTOLINOS RESTAURANT",572
"BASERA INDIAN BISTRO",573
"BATEAUX NEW YORK",577
"BATHTUB GIN",578
"BATI KITCHEN",579
"BATTERSBY",581
"BATTERY GARDENS",582
"BATTERY HARRIS",583
"BEAUMARCHAIS",596
"BEAUTIQUE",598
"BEAUTY AND ESSEX",599
"BECCO",601
"BECKETTS BAR & GRILL",603
"BEECHERâS â THE CELLAR",608
"BEER AUTHORITY",609
"BEET",611
"BELGIAN BEER CAFÃ© NOMAD",614
"BELLA BLU",615
"BELLA LUNA",617
"BELLA NAPOLI ON MADISON",619
"BELLINI ITALIAN RESTAURANT & BRICK OVEN PIZZA",625
"BELLO RESTAURANT",630
"BEN AND JACKS ON 5TH AVENUE",632
"BENARES",636
"BENIHANA",638
"BENJAMIN RESTAURANT & BAR",641
"BENJAMIN STEAKHOUSE",642
"BENOIT RESTAURANT AND BAR",647
"BERNARDS",657
"BETEL",661
"BETONY",662
"BETTOLA",663
"BETTOLONA",664
"BG",667
"BHATTI INDIAN GRILL",668
"BHOJAN",669
"BICE RISTORANTE",674
"BIERHAUS NYC",675
"BIG DADDYS",677
"BIG DADDYâS â UPPER WEST SIDE",678
"BIJANS BROOKLYN",681
"BILLS BAR & BURGER DOWNTOWN",682
"BILLS BAR AND BURGER",683
"BILLS FOOD & DRINK",684
"BILLS",685
"BIN 14",689
"BIRDS & BUBBLES",692
"BISTANGO",695
"BISTANGO RISTORANTE",696
"BISTECCA FIORENTINA",697
"BISTRO 61",707
"BISTRO CASSIS MANHATTAN",713
"BISTRO CHAT NOIR",714
"BISTRO CITRON",715
"BISTRO LA PROMENADE",717
"BISTRO LE STEAK",721
"BISTRO LES AMIS",722
"BISTRO MILANO",724
"BISTRO NORA",725
"BISTRO TEN 18",730
"BISTRO VENDOME",733
"BISUTORO",735
"BLACK DUCK",741
"BLACK IRON BURGER",743
"BLAUE GANS",749
"BLEND",751
"BLEND ON THE WATER",753
"BLENHEIM",754
"BLISS STREET TAVERN",755
"BLOOM",757
"BLOOMS TAVERN",758
"BLT BAR AND GRILL",760
"BLT FISH",761
"BLT FISH SHACK",763
"BLT PRIME",765
"BLT STEAK",767
"BLUE BAR",775
"BLUE DOG KITCHEN BAR",778
"BLUE FIN",780
"BLUE HILL",783
"BLUE PLANET GRILL NYC",786
"BLUE RIBBON BAKERY KITCHEN",788
"BLUE RIBBON BROOKLYN",789
"BLUE RIBBON SUSHI IZAKAYA",790
"BLUE SMOKE",791
"BLUE SMOKE BATTERY PARK CITY",792
"BLUE WATER GRILL",793
"BLUE WATER GRILL  JAZZ ROOM",794
"BOS",797
"BOS KITCHEN & BAR ROOM",798
"BOBBY VANS GRILL",803
"BOBBY VANS GRILL TIMES SQUARE",804
"BOBBY VANS PARK AVENUE",805
"BOBBY VANS STEAKHOUSE",806
"BOBO RESTAURANT",807
"BOCCA",810
"BOCCA DI BACCO",811
"BOCCA DI BACCO (CHELSEA",812
"BOCCA DI BACCO (CHELSEA)",813
"BOCCA DI BACCO (HELLS KITCHEN",814
"BOCCA DI BACCO (THEATRE DISTRICT",815
"BOCCA DI BACCO (THEATRE DISTRICT)",816
"BOCCA DI BACCO (UPPER WEST SIDE",817
"BOCCA EAST",818
"BODEGA NEGRA",823
"BODRUM TURKISH MEDITERRANEAN",824
"BOMBAY HEIGHTS",831
"BOMBAY PALACE",832
"BOMBAY TALKIE",833
"BOND 45",837
"BONDST",839
"BOOMER ESIASONS STADIUM GRILL",842
"BOTEQUIM",846
"BOTTEGA",849
"BOTTEGA DEL VINO",850
"BOTTINO",851
"BOTTOMZUP BAR & GRILL NYC",852
"BOUCHON",854
"BOUKIES RESTAURANT",855
